               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.043275,             0.11898,            0.011877,           0.0021214,            0.026093,            0.001111,          0.00023652,             0.10163,             0.28968,            0.021052,            0.006535,            0.006535,            0.006535
                  37,            0.043159,             0.11898,            0.011784,           0.0021322,            0.026223,           0.0011166,          0.00023724,             0.10162,             0.28992,            0.021061,            0.006436,            0.006436,            0.006436
                  38,            0.043017,             0.11837,            0.011733,           0.0021509,            0.026436,           0.0011278,          0.00023802,             0.10162,             0.29026,            0.021067,            0.006337,            0.006337,            0.006337
                  39,            0.042919,             0.11804,            0.011793,           0.0021282,             0.02613,           0.0011153,          0.00023878,             0.10164,             0.29048,            0.021092,            0.006238,            0.006238,            0.006238
                  40,            0.042933,             0.11804,            0.011707,           0.0021384,             0.02627,            0.001121,          0.00023813,             0.10163,             0.29086,            0.021114,            0.006139,            0.006139,            0.006139
                  41,            0.042819,             0.11774,            0.011667,           0.0021473,            0.026333,           0.0011249,          0.00023997,             0.10161,             0.29139,            0.021126,             0.00604,             0.00604,             0.00604
                  42,            0.042845,             0.11774,            0.011645,           0.0021216,             0.02595,           0.0011106,          0.00023921,              0.1016,             0.29182,            0.021137,            0.005941,            0.005941,            0.005941
                  43,            0.042732,             0.11782,            0.011582,           0.0021277,            0.025953,           0.0011144,          0.00024017,             0.10161,             0.29214,            0.021152,            0.005842,            0.005842,            0.005842
                  44,            0.042588,             0.11744,            0.011595,           0.0021399,            0.026062,           0.0011204,          0.00024012,             0.10164,             0.29232,            0.021154,            0.005743,            0.005743,            0.005743
                  45,            0.042464,             0.11697,            0.011476,           0.0021264,            0.025805,           0.0011129,          0.00023861,             0.10165,             0.29272,            0.021159,            0.005644,            0.005644,            0.005644
                  46,            0.042476,             0.11698,            0.011506,           0.0021247,            0.025667,           0.0011124,          0.00023889,             0.10166,             0.29319,            0.021158,            0.005545,            0.005545,            0.005545
                  47,            0.042379,             0.11668,             0.01148,           0.0021436,            0.025847,           0.0011222,          0.00024202,             0.10166,             0.29346,             0.02118,            0.005446,            0.005446,            0.005446
                  48,             0.04226,             0.11634,             0.01144,           0.0021541,            0.025938,            0.001128,          0.00024061,             0.10167,             0.29396,            0.021176,            0.005347,            0.005347,            0.005347
                  49,             0.04221,             0.11643,            0.011364,           0.0021453,            0.025798,           0.0011231,          0.00024085,             0.10166,             0.29451,            0.021163,            0.005248,            0.005248,            0.005248
                  50,            0.042124,             0.11578,            0.011324,           0.0021653,            0.025952,            0.001133,          0.00024294,             0.10167,             0.29489,            0.021171,            0.005149,            0.005149,            0.005149
                  51,            0.042034,             0.11596,            0.011287,           0.0021751,            0.026055,           0.0011377,          0.00024299,             0.10166,             0.29533,            0.021171,             0.00505,             0.00505,             0.00505
                  52,            0.042032,             0.11601,            0.011303,           0.0021868,            0.026164,           0.0011444,          0.00024498,              0.1017,             0.29563,            0.021211,            0.004951,            0.004951,            0.004951
                  53,            0.041822,             0.11528,            0.011183,            0.002184,            0.026096,           0.0011423,          0.00024514,             0.10174,             0.29589,            0.021245,            0.004852,            0.004852,            0.004852
                  54,            0.041875,             0.11519,            0.011205,            0.002197,            0.026215,           0.0011495,           0.0002451,              0.1018,             0.29608,            0.021252,            0.004753,            0.004753,            0.004753
                  55,            0.041705,             0.11511,            0.011139,           0.0022461,            0.026793,           0.0011749,          0.00024878,             0.10181,             0.29645,            0.021262,            0.004654,            0.004654,            0.004654
                  56,            0.041639,             0.11504,             0.01113,           0.0022588,            0.026892,           0.0011814,          0.00024913,             0.10181,              0.2969,            0.021269,            0.004555,            0.004555,            0.004555
                  57,            0.041496,             0.11464,            0.011092,           0.0022665,            0.026957,           0.0011858,          0.00025197,             0.10185,             0.29696,            0.021277,            0.004456,            0.004456,            0.004456
